Player,Archetype,Round 1,        ,Round 2,,Round 3,,Round 4,,Round 5,,Round 6,,Round 7,,Round 8,,Round 9 ,,Round 10 ,,Round 11,,Round 12,,Round 13,,Round 14,,Round 15,,,,Final Standing
MM_17,Death's Shadow,Depian,2-1,tpc2000,2-1,Kosame,0-2,Seulgi,2-1,riskbreaker,2-1,OnlyLandsDotCom,2-1,djizma,1-2,beware_the_water,1-2,kado222,1-2,Fuz65,0-2,,,,,,,,,,,,,101
MentalMisstep,UR Delver,MahfuzVanGogh,2-0,comeback,2-1,Beekeeper,1-2,RonColpoCinese,2-0,Phizzle,2-1,Dmags0917,1-2,akguy152,2-1,Eldhrimr,0-2,,,,,,,,,,,,,,,,,102
AlphaBlade,UR Delver,into_play,2-0,Monsyama,2-1,XxShuicunexX,1-2,Cyberpunker,2-0,Dmags0917,0-2,Wiltron92,2-0,OnlyLandsDotCom,2-1,RonColpoCinese,1-2,piao,0-2,Kosame,1-2,,,,,,,,,,,,,103
yoshiwata,Death and Taxes,CliffBoyardee,2-1,Firetruck,2-0,Killabee,1-2,Deathnote1999,2-0,GreatApe,2-1,endFunU,0-2,unluckymonkey,2-0,Bangiras,0-2,akguy152,1-2,,,,,,,,,,,,,,,104
MeninoNey,Reanimator,Misterkle,2-0,aarong,2-1,Cyberpunker,2-0,LSC1998,1-2,cftsoc3,2-0,1mrlee,0-2,Galrion89,2-0,Slasher21,1-2,kashf,1-2,,,,,,,,,,,,,,,105
homhom86,UR Delver,Aegisaziz,0-2,maver1k,2-0,SoulStrong,2-0,Michelino,0-2,LegacyBrewPub,2-1,3putt,2-1,MartinMedMitten,2-0,Utsunomiya,1-2,,,,,,,,,,,,,,,,,106
Qwupuf,Lands,JoergHeinrich,1-2,SingPanMan,2-1,ARAPAKO,1-2,lordoflifegain,2-1,SAWATARIX,2-1,tao_bye_bye,2-0,Eldhrimr,0-2,Yorsh,2-0,CoolUser,0-2,seblba,0-2,,,,,,,,,,,,,107
Maximum_Zen,Red Stompy,manadra1n,2-1,StormCountIsOne,2-0,ajdadd420,1-2,WeareVenom,2-1,hundinggjornersen,0-2,Erik_SZ,2-0,ziggy_stardust,1-2,TrincoTeq,2-0,MarioBBrega,0-2,_Batutinha_,0-2,,,,,,,,,,,,,108
TrincoTeq,Elves,Oceansoul92,0-2,darokaba,2-0,wara,2-1,Luffytaro,2-1,DanDeluxe13,1-2,squppy,0-2,WeareVenom,2-0,Maximum_Zen,0-2,Wings_Style_Spartan,2-0,swayjisse,1-2,,,,,,,,,,,,,109
snoopy-magic,Reanimator,Yamaro,2-0,Yorsh,2-1,Delthar,0-2,StormCountIsOne,1-2,Oxdizzle,2-0,Xen0neb,0-2,Misterkle,2-1,Harryhaz1,2-1,ik1cksquirrels,1-2,GreatApe,1-2,,,,,,,,,,,,,110
Tjbrown329,Oops All Spells,lactone56513,2-1,TERANO,2-1,MTGHolic,2-1,Delthar,1-2,Wrath_TheKid,0-2,almightyshank,0-2,MahfuzVanGogh,1-2,HealthyFrog,2-0,KenV21,2-1,DragonDayDragon,1-2,,,,,,,,,,,,,111
Wings_Style_Spartan,Madness,dancingdress,1-2,AkahitoXion,2-0,samlboss92,2-1,seblba,2-1,bennybo,0-2,B-Carp,2-0,Serjero,0-2,Happy12,0-2,TrincoTeq,0-2,Treeroy6670,2-1,,,,,,,,,,,,,112
T2G_Brand,Sneak and Show,lordoflifegain,2-1,exS1N,0-2,taka1208,2-1,PA_Rude,2-0,Azpergillus666,0-2,CoolUser,2-0,JPinter,2-1,JoergHeinrich,0-2,P4UM,1-2,,,,,,,,,,,,,,,113
hktknbr,Reanimator,slod,2-1,Killabee,1-2,Zitical,2-0,beware_the_water,0-2,Renanpf,2-1,Alex_Brown,2-1,416FrowningTable,0-2,sfz,0-2,,,,,,,,,,,,,,,,,114
Harryhaz1,Painter,Devt,1-2,Rank1Lynx,2-1,JS2,2-0,MTGHolic,0-2,Jmackattack,2-1,wooop_orc,2-1,Tsubasa_Cat,1-2,snoopy-magic,1-2,Martinho1111,0-2,Cyberpunker,2-1,,,,,,,,,,,,,115
KenV21,8Cast,nekonekoneko,2-0,lcshana,0-2,FlexToast,2-1,kiyoaggro,0-2,ferrarix,2-0,ganesh_69,0-2,Supercazzola,0-2,Bobovic,2-1,Tjbrown329,1-2,MahfuzVanGogh,2-1,,,,,,,,,,,,,116
Happy12,UR Delver,DanDeluxe13,0-2,Jettison,2-0,3putt,1-2,LegacyBrewPub,1-2,gouafhg,2-1,Renanpf,2-1,Bobovic,2-1,Wings_Style_Spartan,2-0,Melkhart,1-2,satu2112,1-2,,,,,,,,,,,,,117
Serjero,8Cast,hogpog_98,1-2,namo_g,1-2,Iwouldliketorespond,2-0,Jydehem,2-1,exS1N,2-0,codyoung,2-0,Wings_Style_Spartan,2-0,Kinarus,0-2,joker10289,1-2,,,,,,,,,,,,,,,118
trevoryParis,Eldrazi,subesube0417,2-1,Clamavus,1-2,Cherryxman,1-2,Xen0neb,1-2,BlackDragonLars,2-0,namo_g,2-0,wakarock,2-0,dancingdress,0-2,Cyberpunker,2-1,hundinggjornersen,1-2,,,,,,,,,,,,,119
Raikonette,Doomsday,rohuty,1-2,Bobovic,1-2,duster6060,1-2,NovaNiller,2-0,Krisuu889,2-0,Jiobimbo,2-1,Cyberpunker,2-1,ReformedPaolo,1-2,swayjisse,0-2,tpc2000,2-1,,,,,,,,,,,,,120
-Nicolo-,4C Control,lampalot,2-0,PA_Rude,1-2,hatahato,0-2,duster6060,0-2,Danielpena397,1-2,BlackDragonLars,2-0,Jiobimbo,0-2,Cyberpunker,0-2,gouafhg,2-1,HealthyFrog,2-1,,,,,,,,,,,,,121
Udon1590,Hogaak,toondoslav,2-0,googly,2-0,Deathnote1999,2-0,nathansteuer,1-2,el-pollo-lolo,2-1,fluffy21,0-2,Kinarus,1-2,yPrincipe,0-2,seblba,0-2,,,,,,,,,,,,,,,122
duanceyao,UR Delver,TheBrogan,2-0,Minest110,2-1,Luffytaro,2-0,joker10289,2-0,wizardpasta,1-2,Vansguy,1-2,Aegisaziz,0-2,Michelino,1-2,,,,,,,,,,,,,,,,,123
duke12,UR Delver,Langlois,2-1,denounce,2-0,Utsunomiya,2-1,cftsoc3,2-0,Jasmine1742,0-2,djizma,0-2,joker10289,0-2,,,,,,,,,,,,,,,,,,,124
marceliiine,White Stompy,B-Carp,2-0,riskbreaker,0-2,zhinonono,2-1,Baku_91,1-2,swayjisse,2-0,toondoslav,2-0,McWinSauce,1-2,,,,,,,,,,,,,,,,,,,125
DanDeluxe13,UR Delver,Happy12,2-0,thestudygroup,1-2,Hakumei1234,2-1,Utsunomiya,2-0,TrincoTeq,2-1,abombdiggity,1-2,,,,,,,,,,,,,,,,,,,,,126
yusuke0923,UR Delver,kohei1202,0-2,Julian23,2-0,HongZhang,2-0,Bryzem1,2-0,Kinarus,2-1,NimblestMongoose,0-2,,,,,,,,,,,,,,,,,,,,,127
Galrion89,Death's Shadow,tkcheungab,2-1,Renanpf,2-0,Rooney56,2-1,Naoto,2-1,AlpInco,1-2,Ozymandias17,0-2,MeninoNey,0-2,,,,,,,,,,,,,,,,,,,128
Martin_Dominguez,Reanimator,MAT_1205,2-1,strike105303,2-1,yuyan,0-2,abombdiggity,1-2,aarong,2-0,kashf,2-0,RonColpoCinese,0-2,satu2112,1-2,buildorburn,1-2,,,,,,,,,,,,,,,129
TheDullard,UR Delver,Bozo_0388,2-1,Diem4x,2-1,WingedHussar,0-2,Eldhrimr,2-0,johnsmith3373,1-2,BERNASTORRES,2-1,musasabi,0-2,Melkhart,0-2,ganesh_69,0-2,,,,,,,,,,,,,,,130
OnlyLandsDotCom,Painter,wildespony,2-1,Beekeeper,0-2,CrusherBotBG,2-0,dancingdress,2-1,Roquefort,2-0,MM_17,1-2,AlphaBlade,1-2,,,,,,,,,,,,,,,,,,,131
unluckymonkey,Other Tempo,NovaNiller,2-0,Rimril,2-1,johnsmith3373,2-0,Darkmattergun,2-0,tom_basketball,1-2,Gul_Dukat,1-2,yoshiwata,0-2,akguy152,1-2,,,,,,,,,,,,,,,,,132
otakkun,Red Stompy,JPA93,1-2,CliffBoyardee,2-0,noprops,2-0,necrodice,2-0,McWinSauce,0-2,WeareVenom,2-1,beware_the_water,1-2,Darkmattergun,0-2,,,,,,,,,,,,,,,,,133
MartinMedMitten,Other Spell Combo,TrueHero,2-1,zerhacker,2-0,SIN,2-1,yuyan,2-1,reisyasu,1-2,bless_von,0-2,homhom86,0-2,,,,,,,,,,,,,,,,,,,134
tao_bye_bye,Stoneblade,kashf,0-2,BurntbySyn,2-0,Renanpf,2-1,Testacular,2-1,abombdiggity,0-2,Qwupuf,0-2,DragonDayDragon,1-2,MTGHolic,1-2,Yorsh,0-2,,,,,,,,,,,,,,,135
MahfuzVanGogh,Dredge,MentalMisstep,0-2,OopsMissedTrigger,2-1,StormQrow,2-0,buildorburn,0-2,Alex_Brown,0-2,HealthyFrog,2-0,Tjbrown329,2-1,Supercazzola,0-2,wildespony,1-2,KenV21,1-2,,,,,,,,,,,,,136
squppy,Doomsday,Jydehem,2-1,P4UM,0-2,TheBrogan,2-0,nditiz1,2-0,HinaHara,0-2,TrincoTeq,2-0,hundinggjornersen,0-2,,,,,,,,,,,,,,,,,,,137
tpc2000,TES,FirstToThirst,2-1,MM_17,1-2,larkblue,1-2,manadra1n,1-2,filthy_casuals,2-1,wara,1-2,ferrarix,2-0,Koike,2-0,Fuz65,0-2,Raikonette,1-2,,,,,,,,,,,,,138
JPinter,Painter,Carroz,2-1,el-pollo-lolo,2-1,PA_Rude,2-0,kado222,1-2,MTGHolic,1-2,Smradd,2-0,T2G_Brand,1-2,,,,,,,,,,,,,,,,,,,139
HealthyFrog,Lands,kobayui,1-2,Depian,2-0,yPrincipe,0-2,taruto1212,2-0,RonColpoCinese,0-2,MahfuzVanGogh,0-2,Krisuu889,2-1,Tjbrown329,0-2,ferrarix,2-0,-Nicolo-,1-2,,,,,,,,,,,,,140
B-Carp,Elves,marceliiine,0-2,EddDeedoo,2-1,Manuel_Danninger,2-1,UNAUNA,2-0,ReformedPaolo,0-2,Wings_Style_Spartan,0-2,codyoung,2-1,WingedHussar,0-2,,,,,,,,,,,,,,,,,141
Xen0neb,Elves,Killabee,1-2,nekonekoneko,1-2,NovaNiller,2-0,trevoryParis,2-1,Cherryxman,2-0,snoopy-magic,2-0,albertoSD,1-2,Didisoso91,1-2,,,,,,,,,,,,,,,,,142
HinaHara,Reanimator,matyo804,1-2,The_Daddy,2-1,derflotteschotte87,2-0,Oxdizzle,2-0,squppy,2-0,bennybo,1-2,,,,,,,,,,,,,,,,,,,,,143
Cyberpunker,Oops All Spells,gurig,2-1,azatoyellow,2-1,MeninoNey,0-2,AlphaBlade,0-2,Rimril,2-0,_Batutinha_,1-2,Raikonette,1-2,-Nicolo-,2-0,trevoryParis,1-2,Harryhaz1,1-2,,,,,,,,,,,,,144
hide1984,UR Delver,d13titus,1-2,lactone56513,2-0,D00mwake,0-2,bellboysquints,2-1,Seulgi,2-1,aforaffort,2-0,kasa,0-2,,,,,,,,,,,,,,,,,,,145
ktmr-39,Sneak and Show,Seulgi,1-2,RyNG-SToRm,2-0,Firetruck,2-0,416FrowningTable,1-2,Dein_Freund_der_Baum,2-1,nevilshute,2-1,Azpergillus666,0-2,,,,,,,,,,,,,,,,,,,146
Koike,Chain of Smog Combo,GreatApe,1-2,Talisker,2-1,musasabi,0-2,Firetruck,1-2,GriefBacon,2-1,morpheus38,1-2,Langlois,2-1,tpc2000,0-2,Scranton01,2-0,,,,,,,,,,,,,,,147
Scranton01,ANT,Delthar,0-2,Misterkle,0-2,DavidVanDerRaven,0-2,Langlois,0-2,NovaNiller,2-1,filthy_casuals,1-2,paragon249,2-0,Treeroy6670,2-0,Koike,0-2,,Bye,,,,,,,,,,,,,148
ajdadd420,Other Tempo,sneakymisato,2-0,mephidro,2-0,Maximum_Zen,2-1,xJCloud,1-2,LSC1998,0-2,Utsunomiya,1-2,,,,,,,,,,,,,,,,,,,,,149
lcshana,Elves,Ramp,2-1,KenV21,2-0,almostomniscient,2-1,tom_basketball,2-1,mephidro,0-2,alex2,0-2,,,,,,,,,,,,,,,,,,,,,150
cftsoc3,Other Control,Alakazimdk,2-1,JohnnyBravo53,2-0,Seulgi,2-0,duke12,0-2,MeninoNey,0-2,,,,,,,,,,,,,,,,,,,,,,,151
Smradd,8Cast,thatmaverickjoe,2-0,yPrincipe,2-1,endFunU,1-2,hogpog_98,2-1,FirstToThirst,1-2,JPinter,0-2,Didisoso91,0-2,,,,,,,,,,,,,,,,,,,152
Naoto,4C Control,AFX,2-0,Foheo,2-1,alex2,2-0,Galrion89,1-2,kasa,1-2,,,,,,,,,,,,,,,,,,,,,,,153
codyoung,8Cast,Julian23,2-1,JoergHeinrich,2-0,nathansteuer,1-2,Phill_Hellmuth,2-0,djizma,0-2,Serjero,0-2,B-Carp,1-2,,,,,,,,,,,,,,,,,,,154
Beekeeper,Reanimator,darokaba,2-0,OnlyLandsDotCom,2-0,MentalMisstep,2-1,WingedHussar,0-2,kohei1202,1-2,,,,,,,,,,,,,,,,,,,,,,,155
gomashio,Jeskai Control,kasa,0-2,Fuz65,2-1,handsomePPZ,1-2,Danielpena397,2-1,manadra1n,2-1,Aegisaziz,1-2,,,,,,,,,,,,,,,,,,,,,156
ARAPAKO,RUG Delver,lucajak,2-0,Jasmine1742,0-2,Qwupuf,2-1,sfz,0-2,JeanCarloBeloch,2-1,beware_the_water,0-2,,,,,,,,,,,,,,,,,,,,,157
Clamavus,Painter,DNSolver,2-0,trevoryParis,2-1,Tsubasa_Cat,1-2,BERNASTORRES,2-1,musasabi,0-2,,,,,,,,,,,,,,,,,,,,,,,158
Alex_Brown,Lands,kanican,2-1,Jmackattack,2-0,medvedev,1-2,RUDEN1414,0-2,MahfuzVanGogh,2-0,hktknbr,1-2,,,,,,,,,,,,,,,,,,,,,159
yuyan,Reanimator,Kagami_Mashiro_,2-1,musasabi,2-0,Martin_Dominguez,2-0,MartinMedMitten,1-2,P4UM,1-2,Martinho1111,1-2,,,,,,,,,,,,,,,,,,,,,160
RUDEN1414,White Stompy,wingzerofnc,1-2,udonudon,2-1,Yorsh,2-1,Alex_Brown,2-0,thestudygroup,1-2,,,,,,,,,,,,,,,,,,,,,,,161
wakarock,UR Delver,Vansguy,0-2,DavidVanDerRaven,2-1,Z4YN,2-1,Slasher21,0-2,Bobovic,2-1,piao,0-2,trevoryParis,0-2,,,,,,,,,,,,,,,,,,,162
riskbreaker,8Cast,nditiz1,2-0,marceliiine,2-0,reisyasu,1-2,Tezzeret01,2-0,MM_17,1-2,,,,,,,,,,,,,,,,,,,,,,,163
GotTheWongGuy,Stoneblade,DemonicTutors,1-2,kokoko098,2-1,WhiTe TsaR,2-0,Beenew,2-0,Ozymandias17,0-2,JohnnyBravo53,0-2,,,,,,,,,,,,,,,,,,,,,164
nevilshute,Doomsday,Jango898,2-0,buildorburn,2-1,Kuangge,2-0,1mrlee,0-2,googly,1-2,ktmr-39,1-2,,,,,,,,,,,,,,,,,,,,,165
3putt,Painter,Jpsn54,0-2,MAT_1205,2-0,Happy12,2-1,SIN,2-1,Gerschi,0-2,homhom86,1-2,swayjisse,1-2,,,,,,,,,,,,,,,,,,,166
StormCountIsOne,Stoneblade,Bobovic,2-0,Maximum_Zen,0-2,mattiwnl,2-1,snoopy-magic,2-1,almostomniscient,0-2,Kinarus,1-2,,,,,,,,,,,,,,,,,,,,,167
nditiz1,Food Chain,riskbreaker,0-2,swayjisse,2-1,ls149950,2-0,squppy,0-2,zerhacker,2-1,yPrincipe,1-2,,,,,,,,,,,,,,,,,,,,,168
wooop_orc,Jeskai Control,PohTayToes,2-0,ferrarix,2-0,Ozymandias17,0-2,wingzerofnc,2-1,bless_von,1-2,Harryhaz1,1-2,,,,,,,,,,,,,,,,,,,,,169
Foheo,Merfolk,RascalYote,2-0,Naoto,1-2,Aegisaziz,0-2,morpheus38,2-0,j27c58794,2-1,GreatApe,1-2,,,,,,,,,,,,,,,,,,,,,170
sora1248,White Stompy,filthy_casuals,2-1,Kosame,1-2,stu909090,2-0,bless_von,1-2,Firetruck,2-0,Tsubasa_Cat,1-2,,,,,,,,,,,,,,,,,,,,,171
El Lobo,Infect,Condescend,2-1,Luffytaro,1-2,keisesu,2-1,ReformedPaolo,1-2,kashf,0-2,aarong,2-1,Fuz65,0-2,,,,,,,,,,,,,,,,,,,172
Promidnightz,White Stompy,Reshield,2-0,AlpInco,1-2,LeoFa,2-0,LuisMJ,2-1,kiyoaggro,1-2,,,,,,,,,,,,,,,,,,,,,,,173
Phizzle,UR Delver,Kihara_Works,2-1,SAWATARIX,2-0,exS1N,2-1,Gul_Dukat,1-2,MentalMisstep,1-2,wildespony,0-2,,,,,,,,,,,,,,,,,,,,,174
ColletClow,Red Stompy,satu2112,0-2,Liberolabie18,2-1,Rimril,2-0,LasVegasChaos,2-0,Michelino,0-2,,,,,,,,,,,,,,,,,,,,,,,175
el-pollo-lolo,Death's Shadow,Wiltron92,2-0,JPinter,1-2,TFTljhub,2-1,DemonicTutors,2-0,Udon1590,1-2,MarioBBrega,0-2,,,,,,,,,,,,,,,,,,,,,176
Roquefort,White Stompy,CoolestRaven,2-1,ziggy_stardust,0-2,hunden,2-1,excel0679,2-1,OnlyLandsDotCom,0-2,,,,,,,,,,,,,,,,,,,,,,,177
morpheus38,4C Control,Treeroy6670,2-0,UNAUNA,0-2,buildorburn,0-2,Foheo,0-2,TheBrogan,2-0,Koike,2-1,kashf,0-2,,,,,,,,,,,,,,,,,,,178
manadra1n,Doomsday,Maximum_Zen,1-2,Vitis_vinifera,2-0,bless_von,1-2,tpc2000,2-1,gomashio,1-2,EricaWesley,2-1,dancingdress,1-2,DragonDayDragon,0-2,,,,,,,,,,,,,,,,,179
WeareVenom,UR Delver,aadrew,2-0,WhiTe TsaR,2-0,kobayui,1-2,Maximum_Zen,1-2,LasVegasChaos,2-1,otakkun,1-2,TrincoTeq,0-2,,,,,,,,,,,,,,,,,,,180
sumimasen,Doomsday,ZYURYO,0-2,Lord_Beerus,0-2,Langlois,2-1,Z4YN,2-0,Yamaro,2-1,Eldhrimr,1-2,MeTheKaptain,0-2,,,,,,,,,,,,,,,,,,,181
gouafhg,Other Tempo,buildorburn,1-2,,,GreatApe,0-2,thestudygroup,0-2,Happy12,1-2,Bobovic,0-2,Treeroy6670,0-2,paragon249,2-0,-Nicolo-,1-2,ferrarix,1-2,,,,,,,,,,,,,182
ElfKid,Red Stompy,Koala40,0-2,Hampuse1,2-0,tom533,2-1,ik1cksquirrels,2-1,NimblestMongoose,1-2,,,,,,,,,,,,,,,,,,,,,,,183
Lord_Beerus,UR Delver,stu909090,0-2,sumimasen,2-0,zerhacker,2-1,toondoslav,2-1,Oceansoul92,0-2,,,,,,,,,,,,,,,,,,,,,,,184
Rimril,Elves,duster6060,2-0,unluckymonkey,1-2,ColletClow,0-2,udonudon,2-1,Cyberpunker,0-2,Kuangge,2-1,CoolUser,0-2,,,,,,,,,,,,,,,,,,,185
Bobovic,Maverick,StormCountIsOne,0-2,Raikonette,2-1,abombdiggity,0-2,zhinonono,2-1,wakarock,1-2,gouafhg,2-0,Happy12,1-2,KenV21,1-2,,,,,,,,,,,,,,,,,186
Wiltron92,Black Depths,el-pollo-lolo,0-2,CracklingDoom,2-0,Diem4x,2-1,j27c58794,2-0,bernardocssa,1-2,AlphaBlade,0-2,,,,,,,,,,,,,,,,,,,,,187
Erik_SZ,Cephalid Breakfast,BERNASTORRES,1-2,SacmenFeg,2-1,KingofPwners,2-0,Rooney56,2-1,ziggy_stardust,0-2,Maximum_Zen,0-2,,,,,,,,,,,,,,,,,,,,,188
aforaffort,UR Delver,kaeru24,2-0,Deathnote1999,1-2,Phill_Hellmuth,1-2,GriefBacon,2-0,tom533,2-0,hide1984,0-2,,,,,,,,,,,,,,,,,,,,,189
Misterkle,ANT,MeninoNey,0-2,Scranton01,2-0,Yamaro,0-2,strike105303,2-1,duster6060,2-0,Yorsh,1-2,snoopy-magic,1-2,,,,,,,,,,,,,,,,,,,190
toondoslav,Death and Taxes,Udon1590,0-2,Danielpena397,2-1,Kihara_Works,2-0,Lord_Beerus,1-2,BERNASTORRES,2-1,marceliiine,0-2,,,,,,,,,,,,,,,,,,,,,191
filthy_casuals,Doomsday,sora1248,1-2,LegacyBrewPub,0-2,_Batutinha_,1-2,paragon249,2-1,tpc2000,1-2,Scranton01,2-1,EricaWesley,2-1,seblba,0-2,,,,,,,,,,,,,,,,,192
wara,GW Depths,swayjisse,2-0,BERNASTORRES,1-2,TrincoTeq,1-2,Flugel310,2-1,MeTheKaptain,0-2,tpc2000,2-1,,,,,,,,,,,,,,,,,,,,,193
ferrarix,Elves,samlboss92,2-0,wooop_orc,0-2,lain5893,2-1,djizma,1-2,KenV21,0-2,Jmackattack,0-2,tpc2000,0-2,Krisuu889,2-1,HealthyFrog,0-2,gouafhg,2-1,,,,,,,,,,,,,194
MAT_1205,Death and Taxes,Martin_Dominguez,1-2,3putt,0-2,norumi,2-1,EricaWesley,2-1,Beenew,2-1,Alakazimdk,0-2,,,,,,,,,,,,,,,,,,,,,195
Jmackattack,Painter,The_Daddy,2-1,Alex_Brown,0-2,2radMTG,1-2,KingofPwners,2-1,Harryhaz1,1-2,ferrarix,2-0,,,,,,,,,,,,,,,,,,,,,196
Treeroy6670,4C Control,morpheus38,0-2,RonColpoCinese,0-2,GriefBacon,0-2,winedope,2-1,Jiobimbo,0-2,Langlois,0-2,gouafhg,2-0,Scranton01,0-2,,,Wings_Style_Spartan,1-2,,,,,,,,,,,,,197
d13titus,4C Control,hide1984,2-1,SIN,0-2,JohnnyBravo53,2-0,musasabi,1-2,,,,,,,,,,,,,,,,,,,,,,,,,198
Bullwinkkle6705,Yorion Zenith,kae,2-0,Bangiras,2-0,AlpInco,0-2,mephidro,0-2,,,,,,,,,,,,,,,,,,,,,,,,,199
ZYURYO,RUG Cascade,sumimasen,2-0,Baku_91,2-0,ziggy_stardust,1-2,johnsmith3373,0-2,,,,,,,,,,,,,,,,,,,,,,,,,200
Devt,UR Delver,Harryhaz1,2-1,DrPP,2-0,kasa,1-2,Cartesian,1-2,,,,,,,,,,,,,,,,,,,,,,,,,201
D00mwake,White Stompy,Maraxus_of_NL,2-0,kohei1202,0-2,hide1984,2-0,Supercazzola,0-2,ganesh_69,0-2,,,,,,,,,,,,,,,,,,,,,,,202
Bryzem1,UR Delver,McWinSauce,2-0,yashimoro,2-1,akguy152,1-2,yusuke0923,0-2,,,,,,,,,,,,,,,,,,,,,,,,,203
Kuangge,Hogaak,RonColpoCinese,2-1,CookieKid00,2-1,nevilshute,0-2,Azpergillus666,0-2,dancingdress,0-2,Rimril,1-2,,,,,,,,,,,,,,,,,,,,,204
JPA93,Sneak and Show,otakkun,2-1,rofelos,2-0,kohei1202,0-2,CookieKid00,1-2,,,,,,,,,,,,,,,,,,,,,,,,,205
namo_g,Sneak and Show,LSC1998,0-2,Serjero,2-1,CookieKid00,0-2,Wooded_Raptus,2-0,Utsunomiya,1-2,trevoryParis,0-2,,,,,,,,,,,,,,,,,,,,,206
Seulgi,Aluren,ktmr-39,2-1,piao,2-1,cftsoc3,0-2,MM_17,1-2,hide1984,1-2,,,,,,,,,,,,,,,,,,,,,,,207
BuenosLoko,UR Delver,FlexToast,2-0,SoulStrong,2-1,xJCloud,1-2,Kinarus,1-2,almightyshank,0-2,,,,,,,,,,,,,,,,,,,,,,,208
dull04,Reanimator,BlackDragonLars,2-1,alex2,0-2,DragonDayDragon,2-0,Gerschi,1-2,Eldhrimr,1-2,,,,,,,,,,,,,,,,,,,,,,,209
BERNASTORRES,Oops All Spells,Erik_SZ,2-1,wara,2-1,bennybo,1-2,Clamavus,1-2,toondoslav,1-2,TheDullard,1-2,,,,,,,,,,,,,,,,,,,,,210
noprops,White Stompy,almightyshank,2-1,Gul_Dukat,1-2,otakkun,0-2,samlboss92,2-1,ik1cksquirrels,0-2,,,,,,,,,,,,,,,,,,,,,,,211
wingzerofnc,Sneak and Show,RUDEN1414,2-1,Cartesian,1-2,gulldos,2-0,wooop_orc,1-2,,,,,,,,,,,,,,,,,,,,,,,,,212
ForThoseWhoHaveHeart,Elves,Wrath_TheKid,2-1,tom_basketball,1-2,Reshield,2-1,wildespony,1-2,,,,,,,,,,,,,,,,,,,,,,,,,213
PA_Rude,Painter,Whispering,2-1,-Nicolo-,2-1,JPinter,0-2,T2G_Brand,0-2,JohnnyBravo53,0-2,,,,,,,,,,,,,,,,,,,,,,,214
Testacular,Elves,2radMTG,2-1,wizardpasta,1-2,rofelos,2-1,tao_bye_bye,1-2,Yorsh,0-2,seblba,1-2,,,,,,,,,,,,,,,,,,,,,215
DNSolver,GW Depths,Clamavus,0-2,Langlois,2-0,hutomomo,2-1,Wrath_TheKid,1-2,CoolUser,1-2,,,,,,,,,,,,,,,,,,,,,,,216
exS1N,8Cast,sandydogmtg,2-0,T2G_Brand,2-0,Phizzle,1-2,bernardocssa,0-2,Serjero,0-2,,,,,,,,,,,,,,,,,,,,,,,217
PohTayToes,Hogaak,wooop_orc,0-2,Bamerang,2-0,Michelino,1-2,Ravenouspanda21,2-1,Aegisaziz,1-2,swayjisse,1-2,,,,,,,,,,,,,,,,,,,,,218
Dein_Freund_der_Baum,Lands,Schiaveto,2-1,almostomniscient,0-2,faultedform,2-1,NimblestMongoose,0-2,ktmr-39,1-2,,,,,,,,,,,,,,,,,,,,,,,219
Rooney56,Aluren,LeoFa,2-0,CoolUser,2-1,Galrion89,1-2,Erik_SZ,1-2,,,,,,,,,,,,,,,,,,,,,,,,,220
zerhacker,Reanimator,Gerschi,2-1,MartinMedMitten,0-2,Lord_Beerus,1-2,rohuty,2-0,nditiz1,1-2,,,,,,,,,,,,,,,,,,,,,,,221
Fnoop,Omni-Tell,Bamerang,2-0,JS2,2-0,joker10289,0-2,FirstToThirst,1-2,,,,,,,,,,,,,,,,,,,,,,,,,222
Tezzeret01,White Stompy,hamati,2-0,Utsunomiya,0-2,Zetton371,2-0,riskbreaker,0-2,,,,,,,,,,,,,,,,,,,,,,,,,223
TristanJWL,4C Control,kdowns,2-1,jaarseth,2-1,Jasmine1742,0-2,almostomniscient,1-2,,,,,,,,,,,,,,,,,,,,,,,,,224
Phill_Hellmuth,Oops All Spells,JohnnyBravo53,0-2,Eureka22422,2-1,aforaffort,2-1,codyoung,0-2,,,,,,,,,,,,,,,,,,,,,,,,,225
handsomePPZ,UR Delver,1mrlee,0-2,Dazai,2-0,gomashio,2-1,Dmags0917,1-2,,,,,,,,,,,,,,,,,,,,,,,,,226
SacmenFeg,Death's Shadow,Eldhrimr,1-2,Erik_SZ,1-2,aadrew,2-0,almightyshank,1-2,Langlois,2-1,,,,,,,,,,,,,,,,,,,,,,,227
spiralprince,UR Delver,Cherryxman,2-1,Wooded_Raptus,2-0,Oceansoul92,1-2,yPrincipe,1-2,,,,,,,,,,,,,,,,,,,,,,,,,228
necrodice,White Stompy,TFTljhub,2-0,kiyoaggro,2-0,Gul_Dukat,0-2,otakkun,0-2,,,,,,,,,,,,,,,,,,,,,,,,,229
DemonicTutors,ANT,GotTheWongGuy,2-1,Eldhrimr,0-2,TERANO,2-0,el-pollo-lolo,0-2,,,,,,,,,,,,,,,,,,,,,,,,,230
jamiewvh,Cephalid Breakfast,Wesal,2-1,Darkmattergun,0-2,Aerien_sol,2-1,McWinSauce,0-2,,,,,,,,,,,,,,,,,,,,,,,,,231
Cherryxman,8Cast,spiralprince,1-2,Squiddward,2-1,trevoryParis,2-1,JoergHeinrich,1-2,Xen0neb,0-2,,,,,,,,,,,,,,,,,,,,,,,232
